location,displayName,latitude,longitude
"{'latitude': 25.781644399999998, 'longitude': -80.2881395}","{'text': 'Starbucks', 'languageCode': 'usa'}",25.781644399999998,-80.2881395
"{'latitude': 25.7329942, 'longitude': -80.30397049999999}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7329942,-80.30397049999999
"{'latitude': 25.7731212, 'longitude': -80.263995}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7731212,-80.263995
"{'latitude': 25.749238300000002, 'longitude': -80.26054359999999}","{'text': 'Starbucks', 'languageCode': 'en'}",25.749238300000002,-80.26054359999999
"{'latitude': 25.754913400000003, 'longitude': -80.259216}","{'text': 'Starbucks', 'languageCode': 'usa'}",25.754913400000003,-80.259216
"{'latitude': 25.735687, 'longitude': -80.321282}","{'text': 'Starbucks', 'languageCode': 'en'}",25.735687,-80.321282
"{'latitude': 25.761689399999998, 'longitude': -80.3331694}","{'text': 'Starbucks', 'languageCode': 'en'}",25.761689399999998,-80.3331694
"{'latitude': 25.7932258, 'longitude': -80.2742719}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7932258,-80.2742719
"{'latitude': 25.7862293, 'longitude': -80.3372734}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7862293,-80.3372734
"{'latitude': 25.7466433, 'longitude': -80.3353887}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7466433,-80.3353887
"{'latitude': 25.7932193, 'longitude': -80.2645983}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7932193,-80.2645983
"{'latitude': 25.791961, 'longitude': -80.273653}","{'text': 'Starbucks', 'languageCode': 'usa'}",25.791961,-80.273653
"{'latitude': 25.794688999999998, 'longitude': -80.284066}","{'text': 'Starbucks', 'languageCode': 'en'}",25.794688999999998,-80.284066
"{'latitude': 25.791905099999997, 'longitude': -80.2767059}","{'text': 'Starbucks', 'languageCode': 'en'}",25.791905099999997,-80.2767059
"{'latitude': 25.750556399999997, 'longitude': -80.2380345}","{'text': 'Starbucks', 'languageCode': 'en'}",25.750556399999997,-80.2380345
"{'latitude': 25.796581099999997, 'longitude': -80.3247597}","{'text': 'Starbucks', 'languageCode': 'en'}",25.796581099999997,-80.3247597
"{'latitude': 25.7256592, 'longitude': -80.2631675}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7256592,-80.2631675
"{'latitude': 25.7983699, 'longitude': -80.27338639999999}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7983699,-80.27338639999999
"{'latitude': 25.7164829, 'longitude': -80.27411099999999}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7164829,-80.27411099999999
"{'latitude': 25.808797199999997, 'longitude': -80.3153337}","{'text': 'Starbucks', 'languageCode': 'en'}",25.808797199999997,-80.3153337
"{'latitude': 25.8219113, 'longitude': -80.2812962}","{'text': 'Starbucks', 'languageCode': 'en'}",25.8219113,-80.2812962
"{'latitude': 25.779837699999998, 'longitude': -80.2587851}","{'text': 'Starbucks', 'languageCode': 'en'}",25.779837699999998,-80.2587851
"{'latitude': 25.7919159, 'longitude': -80.2107328}","{'text': 'Starbucks', 'languageCode': 'usa'}",25.7919159,-80.2107328
"{'latitude': 25.762752, 'longitude': -80.192287}","{'text': 'Starbucks', 'languageCode': 'en'}",25.762752,-80.192287
"{'latitude': 25.765793, 'longitude': -80.2227638}","{'text': 'Starbucks', 'languageCode': 'en'}",25.765793,-80.2227638
"{'latitude': 25.8534439, 'longitude': -80.3175493}","{'text': 'Starbucks', 'languageCode': 'en'}",25.8534439,-80.3175493
"{'latitude': 25.8670018, 'longitude': -80.29340409999999}","{'text': 'Starbucks', 'languageCode': 'en'}",25.8670018,-80.29340409999999
"{'latitude': 25.808518, 'longitude': -80.192516}","{'text': 'Starbucks', 'languageCode': 'en'}",25.808518,-80.192516
"{'latitude': 25.777239599999998, 'longitude': -80.1956514}","{'text': 'Starbucks', 'languageCode': 'usa'}",25.777239599999998,-80.1956514
"{'latitude': 25.809756, 'longitude': -80.193585}","{'text': 'Starbucks', 'languageCode': 'en'}",25.809756,-80.193585
"{'latitude': 25.862310899999997, 'longitude': -80.1936116}","{'text': 'Starbucks', 'languageCode': 'en'}",25.862310899999997,-80.1936116
"{'latitude': 25.834716000000004, 'longitude': -80.1843462}","{'text': 'Starbucks', 'languageCode': 'en'}",25.834716000000004,-80.1843462
"{'latitude': 25.8051581, 'longitude': -80.1891899}","{'text': 'Starbucks', 'languageCode': 'en'}",25.8051581,-80.1891899
"{'latitude': 25.7770592, 'longitude': -80.1884972}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7770592,-80.1884972
"{'latitude': 25.868293100000002, 'longitude': -80.3204402}","{'text': 'Starbucks', 'languageCode': 'en'}",25.868293100000002,-80.3204402
"{'latitude': 25.719184, 'longitude': -80.279068}","{'text': 'Starbucks', 'languageCode': 'usa'}",25.719184,-80.279068
"{'latitude': 25.727945000000002, 'longitude': -80.242684}","{'text': 'Starbucks', 'languageCode': 'en'}",25.727945000000002,-80.242684
"{'latitude': 25.732532, 'longitude': -80.23271919999999}","{'text': 'Starbucks', 'languageCode': 'en'}",25.732532,-80.23271919999999
"{'latitude': 25.693337099999997, 'longitude': -80.3056843}","{'text': 'Starbucks', 'languageCode': 'en'}",25.693337099999997,-80.3056843
"{'latitude': 25.765045999999998, 'longitude': -80.193039}","{'text': 'Starbucks', 'languageCode': 'en'}",25.765045999999998,-80.193039
"{'latitude': 25.773346, 'longitude': -80.18915299999999}","{'text': 'Starbucks', 'languageCode': 'en'}",25.773346,-80.18915299999999
"{'latitude': 25.7927099, 'longitude': -80.189191}","{'text': 'Starbucks', 'languageCode': 'usa'}",25.7927099,-80.189191
"{'latitude': 25.858740299999997, 'longitude': -80.1844878}","{'text': 'Starbucks', 'languageCode': 'usa'}",25.858740299999997,-80.1844878
"{'latitude': 25.8869459, 'longitude': -80.165229}","{'text': 'Starbucks', 'languageCode': 'en'}",25.8869459,-80.165229
"{'latitude': 25.694937099999997, 'longitude': -80.300287}","{'text': 'Starbucks', 'languageCode': 'en'}",25.694937099999997,-80.300287
"{'latitude': 25.731267799999998, 'longitude': -80.2543479}","{'text': 'Starbucks', 'languageCode': 'en'}",25.731267799999998,-80.2543479
"{'latitude': 25.702078900000004, 'longitude': -80.3335611}","{'text': 'Starbucks', 'languageCode': 'en'}",25.702078900000004,-80.3335611
"{'latitude': 25.687978700000002, 'longitude': -80.3198934}","{'text': 'Starbucks', 'languageCode': 'en'}",25.687978700000002,-80.3198934
"{'latitude': 25.7722671, 'longitude': -80.1861776}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7722671,-80.1861776
"{'latitude': 25.9002768, 'longitude': -80.15988759999999}","{'text': 'Starbucks', 'languageCode': 'en'}",25.9002768,-80.15988759999999
"{'latitude': 25.813858, 'longitude': -80.134148}","{'text': 'Starbucks', 'languageCode': 'en'}",25.813858,-80.134148
"{'latitude': 25.6863843, 'longitude': -80.3104622}","{'text': 'Starbucks', 'languageCode': 'en'}",25.6863843,-80.3104622
"{'latitude': 25.690567899999998, 'longitude': -80.3144101}","{'text': 'Starbucks', 'languageCode': 'en'}",25.690567899999998,-80.3144101
"{'latitude': 25.689690300000002, 'longitude': -80.31147419999999}","{'text': 'Starbucks', 'languageCode': 'usa'}",25.689690300000002,-80.31147419999999
"{'latitude': 25.7752306, 'longitude': -80.1783085}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7752306,-80.1783085
"{'latitude': 25.7950961, 'longitude': -80.1943769}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7950961,-80.1943769
"{'latitude': 25.79074, 'longitude': -80.13641000000001}","{'text': 'Starbucks', 'languageCode': 'en'}",25.79074,-80.13641000000001
"{'latitude': 25.853092999999998, 'longitude': -80.120614}","{'text': 'Starbucks', 'languageCode': 'en'}",25.853092999999998,-80.120614
"{'latitude': 25.906976, 'longitude': -80.15663700000002}","{'text': 'Starbucks', 'languageCode': 'en'}",25.906976,-80.15663700000002
"{'latitude': 25.805179, 'longitude': -80.125092}","{'text': 'Starbucks', 'languageCode': 'en'}",25.805179,-80.125092
"{'latitude': 25.7909017, 'longitude': -80.1344044}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7909017,-80.1344044
"{'latitude': 25.767792099999998, 'longitude': -80.19293689999999}","{'text': 'Starbucks', 'languageCode': 'en'}",25.767792099999998,-80.19293689999999
"{'latitude': 25.778931, 'longitude': -80.1881751}","{'text': 'Starbucks', 'languageCode': 'en'}",25.778931,-80.1881751
"{'latitude': 25.7913426, 'longitude': -80.186174}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7913426,-80.186174
"{'latitude': 25.7751761, 'longitude': -80.1392166}","{'text': 'Starbucks', 'languageCode': 'en'}",25.7751761,-80.1392166
"{'latitude': 25.786825, 'longitude': -80.129381}","{'text': 'Starbucks', 'languageCode': 'en'}",25.786825,-80.129381
"{'latitude': 25.8864324, 'longitude': -80.12389}","{'text': 'Starbucks', 'languageCode': 'en'}",25.8864324,-80.12389
"{'latitude': 25.672801999999997, 'longitude': -80.322673}","{'text': 'Starbucks', 'languageCode': 'en'}",25.672801999999997,-80.322673
"{'latitude': 25.8439462, 'longitude': -80.12088419999999}","{'text': 'Starbucks', 'languageCode': 'en'}",25.8439462,-80.12088419999999
"{'latitude': 25.6571326, 'longitude': -80.3274687}","{'text': 'Starbucks', 'languageCode': 'en'}",25.6571326,-80.3274687
"{'latitude': 25.6977771, 'longitude': -80.163191}","{'text': 'Starbucks', 'languageCode': 'en'}",25.6977771,-80.163191
"{'latitude': 25.770629, 'longitude': -80.13264099999999}","{'text': 'Starbucks', 'languageCode': 'en'}",25.770629,-80.13264099999999
